"Artistas","Musicas","Genero"
"Taylor Swift","Don’t Blame Me","PopF"
"Taylor Swift","Anti-Hero","PopF"
"Taylor Swift","cardigan","PopF"
"Taylor Swift","Lover","PopF"
"Coldplay","The Scientist","PopM"
"Coldplay","Yellow","PopM"
"Coldplay","Something Just Like This","PopM"
"Coldplay","Sparks","PopM"
"Iron Maiden","Fear of the Dark - 2015 Remaster","Heavy Metal"
"Iron Maiden","Run to the Hills - 2015 Remaster","Heavy Metal"
"Iron Maiden","The Trooper - 2015 Remaster","Heavy Metal"
"Iron Maiden","Flight of Icarus - 2015 Remaster","Heavy Metal"
"Wolfgang Amadeus Mozart","Adagio in E Major, K. 261","Classica"
"Wolfgang Amadeus Mozart","Fantasia in D Minor, K. 397","Classica"
"Wolfgang Amadeus Mozart","Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio","Classica"
"Wolfgang Amadeus Mozart","Piano Concerto No. 21 in C Major, K. 467: II. Andante","Classica"
"MC Ryan SP","Set dos Casados","Funk"
"MC Ryan SP","Let's Go 3 (feat. MC Marks, Mc Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)","Funk"
"MC Ryan SP","Casei Com a Putaria","Funk"
"MC Ryan SP","Revoada do Tubarão 3","Funk"
"Péricles","Supera - Ao Vivo","Samba"
"Péricles","Até Que Durou - Ao Vivo","Samba"
"Péricles","Sinais de fogo - Ao Vivo","Samba"
"Péricles","Graveto - Ao Vivo","Samba"
"Racionais MC's","Capi?tulo 4, Versi?culo 3","Rap"
"Racionais MC's","Dia?rio de um Detento","Rap"
"Racionais MC's","Jesus Chorou","Rap"
"Racionais MC's","Negro Drama","Rap"
